"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A+1,A-1,bms_out_+1,bms_out_-1,gnd1,usb_gnd1,V+1,vbus1","8","TestPoint","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~"
"C1,C3,C5,C6,C9,C10,C11,C12,C13","9","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C4,C7,C8","4","10uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"J1","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Wuerth_629105150521","~"
"JP1,JP2,JP3","3","SolderJumper_2_Open","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"L1","1","3.3uH","","","","Capacitor_SMD:C_1206_3216Metric","~"
"Q1","1","BC807","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC808-D.pdf"
"R1,R3,R6,R8","4","10k","","","","Capacitor_SMD:C_0805_2012Metric","~"
"R2,R5,R7","3","100","","","","Capacitor_SMD:C_0805_2012Metric","~"
"R4","1","8.2k","","","","Capacitor_SMD:C_0805_2012Metric","~"
"U1","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U2","1","MCP1727-3302xMF","","","","Package_DFN_QFN:DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm","https://ww1.microchip.com/downloads/aemtest/APID/ProductDocuments/DataSheets/MCP1727-1.5A-Low-Voltage-Low-Quiescent-Current-LDO-Regulator-20001999D.pdf"
"U3","1","HX711","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://web.archive.org/web/20220615044707/https://akizukidenshi.com/download/ds/avia/hx711.pdf"
